Country,Date,Confirmed Cases,Confirmed Deaths,New Cases,New Deaths,Income,Region,Population,Case_Change_7_Day_Rolling_Average,Death_Change_7_Day_Rolling_Average,year,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,Case_7_Day_income,Death_7_Day_income,cpm_income,dpm_income,Case_7_Day_income_per_million,Death_7_Day_income_per_million,cases_region,deaths_region,Case_Change_7_Day_region,Death_7_Day_region,cpm_region,dpm_region,Case_7_Day_region_per_million,Death_7_Day_region_per_million
Cyprus,2024-01-07,681110,1365,6001,,High income,European Region,1244188,2592.57142857143,0.142857142857143,,547433.346085961,1097.10108118709,4823.22607194411,,428026896,2959670,184643.285714286,2903.71428571429,343640.602731539,2376.16559190816,148.240520832104,2.33124165006453,278463447,2266031,202589.571428571,1197.14285714286,299162.860371508,2434.47505571713,217.648945751969,1.28613175364513
Czechia,2024-01-07,4751031,43419,4419,55,High income,European Region,10510751,9887.42857142857,56.7142857142857,,452016.321193414,4130.91319545102,420.426665991802,5.23273741333992,428026896,2959670,184643.285714286,2903.71428571429,343640.602731539,2376.16559190816,148.240520832104,2.33124165006453,278463447,2266031,202589.571428571,1197.14285714286,299162.860371508,2434.47505571713,217.648945751969,1.28613175364513
Côte d’Ivoire,2024-01-07,88384,835,,,Lower middle income,African Region,27478249,2.14285714285714,0,,3216.50771852311,30.3876713541682,,,91895260,1187758,5434.14285714286,36.7142857142857,27053.8264086341,349.674169782711,1.59980348863327,0.0108086305260062,9032943,174375,2095.28571428571,2.28571428571429,7769.2176498889,149.979616576721,1.80215138665091,0.00196593865046803
Denmark,2024-01-07,3433033,9436,695,10,High income,European Region,5854240,1826.71428571429,66.8571428571429,,586418.219956818,1611.82322555959,118.717374074175,1.70816365574353,428026896,2959670,184643.285714286,2903.71428571429,343640.602731539,2376.16559190816,148.240520832104,2.33124165006453,278463447,2266031,202589.571428571,1197.14285714286,299162.860371508,2434.47505571713,217.648945751969,1.28613175364513
Djibouti,2024-01-07,15690,189,,,Lower middle income,Eastern Mediterranean Region,1105557,0,0,,14191.9412567602,170.954550511643,,,91895260,1187758,5434.14285714286,36.7142857142857,27053.8264086341,349.674169782711,1.59980348863327,0.0108086305260062,23409768,351870,624.285714285714,12.7142857142857,30745.3474601545,462.13039833648,0.819909073858615,0.0166983770190885
Dominica,2024-01-07,16038,74,,,Upper middle income,Region of the Americas,72412,0,0,,221482.627188864,1021.93006683975,,,251075444,2822757,100680.142857143,226.142857142857,99638.5043276695,1120.20228294592,39.954599661215,0.0897440852483372,192673907,2993530,12331.4285714286,1794.28571428571,187744.930631808,2916.9496323871,12.0159664470496,1.7483843671796
Dominican Republic,2024-01-07,661181,4384,1,,Upper middle income,Region of the Americas,11117873,0.285714285714286,0,,59470.0982822883,394.320028660158,0.0899452620118974,,251075444,2822757,100680.142857143,226.142857142857,99638.5043276695,1120.20228294592,39.954599661215,0.0897440852483372,192673907,2993530,12331.4285714286,1794.28571428571,187744.930631808,2916.9496323871,12.0159664470496,1.7483843671796
Ecuador,2024-01-07,1069133,36024,734,,Upper middle income,Region of the Americas,17797737,810.142857142857,0.571428571428571,,60071.2888385754,2024.07755547798,41.2411982489684,,251075444,2822757,100680.142857143,226.142857142857,99638.5043276695,1120.20228294592,39.954599661215,0.0897440852483372,192673907,2993530,12331.4285714286,1794.28571428571,187744.930631808,2916.9496323871,12.0159664470496,1.7483843671796
Egypt,2024-01-07,516023,24830,,,Lower middle income,Eastern Mediterranean Region,109262178,0,0,,4722.79620858372,227.251556343678,,,91895260,1187758,5434.14285714286,36.7142857142857,27053.8264086341,349.674169782711,1.59980348863327,0.0108086305260062,23409768,351870,624.285714285714,12.7142857142857,30745.3474601545,462.13039833648,0.819909073858615,0.0166983770190885
El Salvador,2024-01-07,201835,4230,,,Upper middle income,Region of the Americas,6314167,0.285714285714286,0,,31965.4199833486,669.922097404139,,,251075444,2822757,100680.142857143,226.142857142857,99638.5043276695,1120.20228294592,39.954599661215,0.0897440852483372,192673907,2993530,12331.4285714286,1794.28571428571,187744.930631808,2916.9496323871,12.0159664470496,1.7483843671796
Equatorial Guinea,2024-01-07,17130,183,,,Upper middle income,African Region,1634466,0,0,,10480.4872049954,111.963173293296,,,251075444,2822757,100680.142857143,226.142857142857,99638.5043276695,1120.20228294592,39.954599661215,0.0897440852483372,9032943,174375,2095.28571428571,2.28571428571429,7769.2176498889,149.979616576721,1.80215138665091,0.00196593865046803
Eritrea,2024-01-07,10189,103,,,Low income,African Region,3620312,0,0,,2814.39831705113,28.4505865792783,,,1937144,43494,343,2,2697.01402122504,60.5550892650014,0.477546227477249,0.00278452610773906,9032943,174375,2095.28571428571,2.28571428571429,7769.2176498889,149.979616576721,1.80215138665091,0.00196593865046803
Estonia,2024-01-07,608939,2976,358,4,High income,European Region,1328701,657.142857142857,8.14285714285714,,458296.486568461,2239.78156108861,269.43608832988,3.01045908748469,428026896,2959670,184643.285714286,2903.71428571429,343640.602731539,2376.16559190816,148.240520832104,2.33124165006453,278463447,2266031,202589.571428571,1197.14285714286,299162.860371508,2434.47505571713,217.648945751969,1.28613175364513
Eswatini,2024-01-07,75191,1427,,,Lower middle income,African Region,1192271,2.85714285714286,0,,63065.3601404379,1196.87554255702,,,91895260,1187758,5434.14285714286,36.7142857142857,27053.8264086341,349.674169782711,1.59980348863327,0.0108086305260062,9032943,174375,2095.28571428571,2.28571428571429,7769.2176498889,149.979616576721,1.80215138665091,0.00196593865046803
Ethiopia,2024-01-07,501117,7574,,,Low income,African Region,120283026,3.42857142857143,0,,4166.14892944246,62.968153129104,,,1937144,43494,343,2,2697.01402122504,60.5550892650014,0.477546227477249,0.00278452610773906,9032943,174375,2095.28571428571,2.28571428571429,7769.2176498889,149.979616576721,1.80215138665091,0.00196593865046803
Falkland Islands,2024-01-07,1923,0,,,,,3764,0,0,,510892.667375133,0,,,1212840,3965,19.2857142857143,0,,,,,1310894,4286,6,0.285714285714286,,,,
Faroe Islands,2024-01-07,34658,28,,,High income,,52889,0,0,,655296.942653482,529.410652498629,,,428026896,2959670,184643.285714286,2903.71428571429,343640.602731539,2376.16559190816,148.240520832104,2.33124165006453,1310894,4286,6,0.285714285714286,,,,
Fiji,2024-01-07,69047,885,,,Upper middle income,Western Pacific Region,924610,0,0,,74676.890797201,957.160316241442,,,251075444,2822757,100680.142857143,226.142857142857,99638.5043276695,1120.20228294592,39.954599661215,0.0897440852483372,208014759,419274,68982.2857142857,131.428571428571,108098.424420883,217.882899360239,35.8478236569044,0.0682991032156332
Finland,2024-01-07,1499712,11415,,7,High income,European Region,5535992,0,12.5714285714286,,270902.125581106,2061.96107219808,,1.2644526942958,428026896,2959670,184643.285714286,2903.71428571429,343640.602731539,2376.16559190816,148.240520832104,2.33124165006453,278463447,2266031,202589.571428571,1197.14285714286,299162.860371508,2434.47505571713,217.648945751969,1.28613175364513
France,2024-01-07,38997490,167985,,,High income,European Region,64531444,0,0,,604317.640869775,2603.14955915135,,,428026896,2959670,184643.285714286,2903.71428571429,343640.602731539,2376.16559190816,148.240520832104,2.33124165006453,278463447,2266031,202589.571428571,1197.14285714286,299162.860371508,2434.47505571713,217.648945751969,1.28613175364513
French Guiana,2024-01-07,98041,413,,,,,297449,0,0,,329606.083732001,1388.47331811504,,,1212840,3965,19.2857142857143,0,,,,,1310894,4286,6,0.285714285714286,,,,
French Polynesia,2024-01-07,79254,650,27,1,High income,Western Pacific Region,304032,79.1428571428572,0.142857142857143,,260676.507736028,2137.93284917377,88.8064414272182,3.28912746026734,428026896,2959670,184643.285714286,2903.71428571429,343640.602731539,2376.16559190816,148.240520832104,2.33124165006453,208014759,419274,68982.2857142857,131.428571428571,108098.424420883,217.882899360239,35.8478236569044,0.0682991032156332
