Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,year,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,cpm_region,dpm_region,new_cpm_region,new_dpm_region
Colombia,2025-12-07,6402282,53,142798,1,Upper middle income,Region of the Americas,51516562,,124276.189082649,2771.88528225156,1.02879536099478,0.0194112332263166,222663271,2530824,573,2,88363.2223752895,1004.34958536435,0.227393257063222,0.000793693741930967,193214261,3063902,466,140,188271.461316872,2985.52137862995,0.454078806189479,0.13641852546465
Denmark,2025-12-07,3445883,255,10012,,High income,European Region,5854240,,588613.210254448,1710.21345213042,43.55817322146,,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,281438122,2281383,10452,45,302358.656054076,2450.96823743237,11.2289431531852,0.0483450480188801
Cuba,2025-12-07,1113829,1,8530,,Upper middle income,Region of the Americas,11256372,,98950.9763891954,757.793008262342,0.0888385707224317,,222663271,2530824,573,2,88363.2223752895,1004.34958536435,0.227393257063222,0.000793693741930967,193214261,3063902,466,140,188271.461316872,2985.52137862995,0.454078806189479,0.13641852546465
Congo - Brazzaville,2025-12-07,25234,,389,,Lower middle income,African Region,5835806,,4323.99569142634,66.6574591410338,,,78324000,931883,1,0,23058.4678647175,274.344954409587,0.000294398496817291,0,9050765,174424,8,0,7784.54631928893,150.02176138654,0.0068807852766381,0
Comoros,2025-12-07,9109,,160,,Lower middle income,African Region,821625,,11086.5662558953,194.736041381409,,,78324000,931883,1,0,23058.4678647175,274.344954409587,0.000294398496817291,0,9050765,174424,8,0,7784.54631928893,150.02176138654,0.0068807852766381,0
Algeria,2025-12-07,272435,0,6881,,Upper middle income,African Region,44177969,,6166.76153672886,155.756368066626,0,,222663271,2530824,573,2,88363.2223752895,1004.34958536435,0.227393257063222,0.000793693741930967,9050765,174424,8,0,7784.54631928893,150.02176138654,0.0068807852766381,0
Cape Verde,2025-12-07,64550,,417,,Upper middle income,African Region,587925,,109792.915763065,709.274142109963,,,222663271,2530824,573,2,88363.2223752895,1004.34958536435,0.227393257063222,0.000793693741930967,9050765,174424,8,0,7784.54631928893,150.02176138654,0.0068807852766381,0
Ecuador,2025-12-07,1081694,,36063,,Upper middle income,Region of the Americas,17797737,,60777.0527230513,2026.2688453032,,,222663271,2530824,573,2,88363.2223752895,1004.34958536435,0.227393257063222,0.000793693741930967,193214261,3063902,466,140,188271.461316872,2985.52137862995,0.454078806189479,0.13641852546465
Costa Rica,2025-12-07,1241018,,9391,,High income,Region of the Americas,5153957,,240789.358545289,1822.09513971498,,,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,193214261,3063902,466,140,188271.461316872,2985.52137862995,0.454078806189479,0.13641852546465
Cyprus,2025-12-07,717863,70,1364,,High income,European Region,1244188,,576973.09409832,1096.29734413127,56.2615939070301,,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,281438122,2281383,10452,45,302358.656054076,2450.96823743237,11.2289431531852,0.0483450480188801
France,2025-12-07,39054039,458,168162,,High income,European Region,64531444,,605193.942351577,2605.89240804839,7.09731522511723,,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,281438122,2281383,10452,45,302358.656054076,2450.96823743237,11.2289431531852,0.0483450480188801
Egypt,2025-12-07,516023,,24830,,Lower middle income,Eastern Mediterranean Region,109262178,,4722.79620858372,227.251556343678,,,78324000,931883,1,0,23058.4678647175,274.344954409587,0.000294398496817291,0,23417911,351975,0,0,30756.0421139575,462.268300663548,0,0
Cura�ao,2025-12-07,45883,,305,,,Region of the Americas,,,,,,,18765230,113264,1,0,,,,,193214261,3063902,466,140,188271.461316872,2985.52137862995,0.454078806189479,0.13641852546465
Czechia,2025-12-07,4878778,1740,43887,5,High income,European Region,10510751,,464170.257672359,4175.43903380453,165.544783622027,0.47570340121272,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,281438122,2281383,10452,45,302358.656054076,2450.96823743237,11.2289431531852,0.0483450480188801
Estonia,2025-12-07,616213,99,3184,2,High income,European Region,1328701,,463771.006419051,2396.32543363782,74.5088624152462,1.50522954374235,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,281438122,2281383,10452,45,302358.656054076,2450.96823743237,11.2289431531852,0.0483450480188801
Micronesia (Federated States of),2025-12-07,31765,,62,,Lower middle income,Western Pacific Region,113131,,280780.687875118,548.037231174479,,,78324000,931883,1,0,23058.4678647175,274.344954409587,0.000294398496817291,0,208610782,421686,0,0,108408.157958678,219.136336380557,0,0
Cayman Islands,2025-12-07,31472,,37,,High income,Region of the Americas,68136,,461899.729951861,543.031583891042,,,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,193214261,3063902,466,140,188271.461316872,2985.52137862995,0.454078806189479,0.13641852546465
Eritrea,2025-12-07,10189,,103,,Low income,African Region,3620312,,2814.39831705113,28.4505865792783,,,1443768,35955,0,0,2010.10484475911,50.058818101879,0,0,9050765,174424,8,0,7784.54631928893,150.02176138654,0.0068807852766381,0
